# 46734 Magong 2025-07-25 12Z (Start time 7/25/2025 11:34:55 AM), 1-s data
# Height(gpm),P(hPa),T(C),U(%),WS(m/s),WD(deg)
15421,126.6,-72.4,49.4,12.3,133.6
15428,126.4,-72.5,49.3,12.3,133.5
15434,126.3,-72.5,49.2,12.4,133.4
15440,126.2,-72.6,49.2,12.5,133.3
15446,126.0,-72.6,49.2,12.5,133.3
15452,125.9,-72.7,49.3,12.6,133.2
15458,125.8,-72.7,49.3,12.7,133.1
15464,125.6,-72.8,49.5,12.7,133.1
15470,125.5,-72.8,49.6,12.8,133.0
15476,125.4,-72.9,49.8,12.8,133.0
15482,125.3,-72.9,50.0,12.9,133.0
15488,125.1,-73.0,50.1,12.9,133.0
15493,125.0,-73.1,50.2,13.0,133.0
15499,124.9,-73.1,50.2,13.0,133.0
15504,124.8,-73.2,50.1,13.1,133.1
15509,124.7,-73.2,50.0,13.1,133.1
15514,124.6,-73.2,49.7,13.2,133.2
15519,124.5,-73.3,49.4,13.2,133.3
15524,124.4,-73.3,49.1,13.2,133.4
15529,124.3,-73.4,48.7,13.3,133.5
15534,124.2,-73.4,48.4,13.3,133.7
15539,124.0,-73.5,48.0,13.3,133.8
15544,123.9,-73.5,47.8,13.4,133.9
15549,123.8,-73.6,47.6,13.4,134.1
15554,123.7,-73.6,47.4,13.4,134.2
15559,123.6,-73.7,47.3,13.4,134.4
15564,123.5,-73.7,47.3,13.5,134.5
15569,123.4,-73.8,47.3,13.5,134.7
15574,123.3,-73.8,47.3,13.5,134.8
15579,123.2,-73.8,47.3,13.6,134.9
15584,123.1,-73.9,47.4,13.6,135.0
15589,123.0,-73.9,47.4,13.6,135.1
15594,122.9,-74.0,47.4,13.6,135.2
15599,122.8,-74.0,47.5,13.7,135.3
15605,122.7,-74.1,47.5,13.7,135.3
15610,122.5,-74.1,47.5,13.7,135.3
15616,122.4,-74.2,47.4,13.7,135.4
15621,122.3,-74.2,47.3,13.7,135.4
15627,122.2,-74.3,47.2,13.8,135.3
15633,122.0,-74.3,47.0,13.8,135.3
15640,121.9,-74.4,46.9,13.8,135.2
15646,121.8,-74.4,46.7,13.8,135.1
15652,121.7,-74.5,46.5,13.8,134.9
15659,121.5,-74.6,46.4,13.8,134.7
15665,121.4,-74.6,46.3,13.8,134.5
15672,121.2,-74.7,46.2,13.8,134.2
15679,121.1,-74.7,46.2,13.8,133.9
15685,121.0,-74.8,46.2,13.8,133.6
15692,120.8,-74.9,46.2,13.8,133.2
15699,120.7,-74.9,46.2,13.8,132.8
15707,120.5,-75.0,46.2,13.8,132.5
15714,120.4,-75.1,46.3,13.7,132.2
15722,120.2,-75.2,46.3,13.7,132.0
15729,120.0,-75.2,46.3,13.7,131.7
15737,119.9,-75.3,46.3,13.7,131.4
15744,119.7,-75.3,46.3,13.7,131.0
15751,119.6,-75.4,46.3,13.7,130.5
15758,119.5,-75.5,46.3,13.7,129.9
15765,119.3,-75.5,46.3,13.7,129.4
15773,119.2,-75.6,46.2,13.6,128.8
15780,119.0,-75.6,46.2,13.6,128.2
15787,118.9,-75.7,46.2,13.6,127.6
15794,118.7,-75.7,46.2,13.6,127.0
15801,118.6,-75.8,46.2,13.6,126.4
15808,118.4,-75.8,46.2,13.6,125.8
15814,118.3,-75.8,46.2,13.6,125.2
15821,118.2,-75.8,46.2,13.6,124.7
15827,118.0,-75.8,46.1,13.6,124.1
15833,117.9,-75.9,46.0,13.7,123.5
15840,117.8,-75.9,45.8,13.7,123.0
15846,117.7,-76.0,45.5,13.7,122.5
15852,117.5,-76.0,45.3,13.7,121.9
15858,117.4,-76.1,45.0,13.8,121.4
15864,117.3,-76.2,44.7,13.8,120.9
15871,117.1,-76.2,44.4,13.9,120.5
15878,117.0,-76.3,44.1,13.9,120.1
15884,116.9,-76.4,43.9,13.9,119.8
15891,116.7,-76.4,43.8,14.0,119.6
15897,116.6,-76.5,43.7,14.0,119.3
15904,116.5,-76.5,43.8,14.0,119.0
15910,116.3,-76.6,43.9,14.1,118.7
15917,116.2,-76.6,44.0,14.2,118.3
15923,116.1,-76.7,44.2,14.2,117.9
15930,116.0,-76.8,44.5,14.3,117.5
15936,115.8,-76.8,44.7,14.4,117.1
15943,115.7,-76.9,45.0,14.4,116.7
15949,115.6,-76.9,45.2,14.5,116.4
15956,115.4,-77.0,45.4,14.6,116.0
15962,115.3,-77.0,45.5,14.7,115.7
15969,115.2,-77.1,45.6,14.7,115.4
15976,115.0,-77.1,45.6,14.8,115.1
15982,114.9,-77.2,45.5,14.8,114.9
15989,114.8,-77.3,45.4,14.9,114.7
15995,114.6,-77.3,45.2,14.9,114.5
16001,114.5,-77.3,45.0,15.0,114.3
16007,114.4,-77.4,44.8,15.0,114.0
16014,114.3,-77.5,44.6,15.0,113.8
16020,114.1,-77.5,44.4,15.1,113.6
16027,114.0,-77.6,44.2,15.1,113.5
16034,113.9,-77.6,44.1,15.1,113.4
16041,113.7,-77.7,44.1,15.2,113.3
16048,113.6,-77.8,44.1,15.2,113.2
16055,113.4,-77.8,44.3,15.2,113.1
16063,113.3,-77.9,44.5,15.2,113.1
16070,113.1,-78.0,44.7,15.2,113.0
16077,113.0,-78.0,45.0,15.2,113.0
16084,112.9,-78.0,45.3,15.1,113.0
16090,112.7,-78.1,45.6,15.1,113.1
16097,112.6,-78.2,45.9,15.1,113.1
16103,112.5,-78.2,46.1,15.1,113.1
16109,112.4,-78.2,46.2,15.1,113.2
16115,112.3,-78.3,46.3,15.1,113.3
16121,112.1,-78.3,46.3,15.0,113.4
16128,112.0,-78.4,46.2,15.0,113.5
16134,111.9,-78.5,46.1,15.0,113.6
16141,111.8,-78.5,46.0,15.0,113.6
16147,111.6,-78.6,45.9,15.0,113.7
16154,111.5,-78.7,45.9,15.0,113.8
16161,111.4,-78.7,45.8,15.0,113.8
16168,111.2,-78.8,45.8,15.0,113.9
16174,111.1,-78.9,45.9,15.0,113.9
16181,111.0,-78.9,46.0,15.0,113.9
16187,110.8,-79.0,46.1,15.0,113.9
16194,110.7,-79.0,46.2,15.0,113.8
16200,110.6,-79.1,46.4,15.1,113.7
16206,110.5,-79.2,46.5,15.1,113.6
16212,110.4,-79.2,46.7,15.1,113.5
16219,110.2,-79.3,46.8,15.2,113.4
16225,110.1,-79.4,47.0,15.2,113.3
16232,110.0,-79.4,47.1,15.3,113.1
16239,109.8,-79.5,47.3,15.3,112.8
16246,109.7,-79.5,47.4,15.4,112.6
16253,109.6,-79.6,47.5,15.4,112.4
16260,109.4,-79.7,47.6,15.5,112.2
16267,109.3,-79.8,47.7,15.5,112.0
16275,109.1,-79.8,47.9,15.6,111.8
16282,109.0,-79.9,48.0,15.6,111.6
16289,108.9,-80.0,48.1,15.6,111.5
16296,108.7,-80.1,48.3,15.7,111.3
16303,108.6,-80.1,48.4,15.7,111.1
16310,108.5,-80.1,48.6,15.8,110.8
16316,108.4,-80.2,48.8,15.8,110.5
16322,108.2,-80.2,49.0,15.9,110.3
16329,108.1,-80.2,49.1,15.9,110.0
16335,108.0,-80.3,49.2,15.9,109.8
16341,107.9,-80.3,49.3,15.9,109.6
16347,107.8,-80.3,49.4,16.0,109.4
16353,107.6,-80.4,49.4,16.0,109.2
16360,107.5,-80.4,49.3,16.0,109.0
16366,107.4,-80.5,49.2,16.0,108.9
16372,107.3,-80.5,49.1,16.0,108.7
16378,107.2,-80.5,49.0,16.0,108.5
16384,107.1,-80.6,48.9,16.0,108.3
16390,106.9,-80.6,48.8,16.0,108.2
16396,106.8,-80.7,48.8,16.0,108.1
16402,106.7,-80.7,48.7,16.0,108.0
16408,106.6,-80.8,48.7,16.0,107.9
16413,106.5,-80.8,48.8,16.0,107.9
16419,106.4,-80.9,48.9,16.0,107.8
16425,106.3,-80.9,49.0,15.9,107.8
16431,106.2,-81.0,49.2,15.9,107.8
16437,106.1,-81.1,49.4,15.9,107.7
16443,105.9,-81.1,49.6,15.8,107.7
16449,105.8,-81.1,49.8,15.8,107.7
16455,105.7,-81.2,50.0,15.8,107.7
16462,105.6,-81.2,50.2,15.7,107.7
16468,105.5,-81.3,50.4,15.7,107.6
16474,105.3,-81.4,50.6,15.7,107.6
16481,105.2,-81.4,50.7,15.7,107.5
16488,105.1,-81.5,50.8,15.7,107.4
16494,105.0,-81.5,50.8,15.7,107.3
16501,104.8,-81.6,50.9,15.7,107.3
16508,104.7,-81.7,50.9,15.7,107.2
16515,104.6,-81.7,50.9,15.7,107.1
16523,104.4,-81.8,50.9,15.7,107.0
16530,104.3,-81.9,50.8,15.7,106.9
16537,104.2,-81.9,50.8,15.8,106.7
16544,104.0,-82.0,50.7,15.8,106.5
16551,103.9,-82.0,50.7,15.9,106.3
16558,103.8,-82.1,50.6,15.9,106.2
16565,103.7,-82.1,50.6,16.0,106.0
16572,103.5,-82.1,50.6,16.0,105.9
16578,103.4,-82.2,50.6,16.1,105.7
16585,103.3,-82.2,50.6,16.2,105.6
16591,103.2,-82.2,50.6,16.3,105.4
16598,103.1,-82.2,50.6,16.4,105.2
16604,102.9,-82.3,50.6,16.5,105.1
16611,102.8,-82.3,50.6,16.6,105.0
16617,102.7,-82.4,50.5,16.7,104.9
16624,102.6,-82.4,50.5,16.8,104.8
16630,102.5,-82.5,50.5,17.0,104.8
16637,102.3,-82.5,50.5,17.1,104.7
16644,102.2,-82.5,50.5,17.2,104.7
16650,102.1,-82.5,50.5,17.3,104.6
16657,102.0,-82.6,50.5,17.5,104.6
16664,101.8,-82.6,50.5,17.6,104.6
16671,101.7,-82.6,50.6,17.8,104.6
16678,101.6,-82.7,50.6,18.0,104.7
16684,101.5,-82.7,50.7,18.2,104.7
16691,101.3,-82.8,50.7,18.3,104.8
16698,101.2,-82.8,50.8,18.5,104.9
16705,101.1,-82.9,50.9,18.7,104.9
16711,101.0,-83.0,51.0,18.8,105.0
16718,100.9,-83.0,51.1,19.0,105.1
16724,100.7,-83.1,51.1,19.1,105.1
16731,100.6,-83.1,51.1,19.3,105.2
16737,100.5,-83.2,51.1,19.4,105.2
16744,100.4,-83.2,51.0,19.5,105.3
16750,100.3,-83.2,50.9,19.5,105.3
16757,100.2,-83.2,50.8,19.6,105.3
16763,100.0,-83.1,50.6,19.7,105.3
16770,99.9,-83.1,50.4,19.9,105.3
16778,99.8,-83.1,50.2,20.0,105.3
16785,99.6,-83.2,49.9,20.1,105.3
16793,99.5,-83.2,49.6,20.1,105.3
16800,99.4,-83.2,49.3,20.2,105.3
16806,99.3,-83.2,49.0,20.2,105.3
16811,99.2,-83.2,48.7,20.3,105.2
16815,99.1,-83.1,48.4,20.3,105.2
16819,99.0,-83.1,48.1,20.4,105.2
16823,99.0,-83.1,47.8,20.4,105.1
16827,98.9,-83.0,47.5,20.5,105.1
16832,98.8,-83.0,47.2,20.6,105.0
16837,98.7,-83.1,47.0,20.6,105.0
16842,98.6,-83.1,46.8,20.7,104.9
16848,98.5,-83.1,46.6,20.8,104.8
16853,98.4,-83.1,46.3,20.8,104.7
16859,98.3,-83.1,46.1,20.9,104.6
16865,98.2,-83.1,45.9,20.9,104.5
16871,98.1,-83.1,45.6,20.9,104.4
16877,98.0,-83.2,45.3,21.0,104.3
16884,97.9,-83.2,44.9,21.0,104.2
16890,97.8,-83.2,44.5,21.0,104.1
16896,97.7,-83.3,44.0,21.0,104.0
16903,97.6,-83.2,43.6,21.0,104.0
16909,97.4,-83.2,43.0,21.0,103.9
16916,97.3,-83.1,42.5,21.0,103.9
16923,97.2,-83.0,41.9,21.0,103.8
16930,97.1,-83.0,41.3,21.0,103.8
16937,97.0,-82.9,40.7,21.0,103.8
16943,96.9,-82.8,40.1,21.0,103.8
16950,96.7,-82.7,39.4,20.9,103.7
16957,96.6,-82.6,38.8,20.9,103.7
16963,96.5,-82.5,38.2,20.8,103.7
16970,96.4,-82.2,37.6,20.7,103.7
16976,96.3,-82.0,36.9,20.7,103.7
16983,96.2,-81.9,36.3,20.6,103.7
16990,96.0,-81.9,35.6,20.5,103.8
16997,95.9,-81.8,35.0,20.4,103.8
17004,95.8,-81.7,34.3,20.2,103.8
17011,95.7,-81.6,33.7,20.1,103.8
17018,95.6,-81.5,33.0,20.0,103.8
17025,95.4,-81.3,32.4,19.8,103.8
17032,95.3,-81.1,31.9,19.7,103.8
17039,95.2,-80.7,31.3,19.6,103.8
17046,95.1,-80.3,30.8,19.5,103.7
17053,95.0,-80.2,30.3,19.4,103.7
17060,94.9,-80.2,29.8,19.2,103.7
17066,94.8,-80.1,29.3,19.1,103.6
17073,94.6,-80.0,28.8,18.9,103.5
17080,94.5,-79.8,28.4,18.7,103.5
17087,94.4,-79.5,27.9,18.5,103.4
17094,94.3,-79.3,27.4,18.4,103.3
17101,94.2,-79.1,26.9,18.2,103.2
17108,94.1,-78.8,26.4,18.0,103.2
17115,93.9,-78.4,26.0,17.9,103.1
17121,93.8,-78.2,25.6,17.7,103.0
17128,93.7,-77.9,25.2,17.6,102.9
17134,93.6,-77.7,24.8,17.4,102.8
17140,93.5,-77.5,24.5,17.3,102.7
17147,93.4,-77.1,24.3,17.2,102.6
17153,93.3,-76.8,24.0,17.0,102.5
17160,93.2,-76.4,23.8,16.9,102.4
17166,93.1,-76.2,23.6,16.8,102.3
17173,93.0,-75.9,23.4,16.7,102.2
17180,92.9,-75.4,23.3,16.6,102.1
17186,92.8,-75.2,23.1,16.6,102.0
17193,92.7,-75.0,23.0,16.5,101.9
17200,92.6,-74.9,22.9,16.5,101.7
17207,92.5,-74.7,22.8,16.4,101.6
17214,92.3,-74.6,22.7,16.4,101.5
17221,92.2,-74.5,22.6,16.4,101.3
17227,92.1,-74.5,22.5,16.3,101.2
17234,92.0,-74.4,22.3,16.3,101.0
17241,91.9,-74.3,22.2,16.3,100.8
17247,91.8,-74.2,22.1,16.3,100.7
17254,91.7,-74.2,21.9,16.3,100.5
17260,91.6,-74.1,21.8,16.3,100.2
17266,91.5,-74.0,21.6,16.3,99.9
17272,91.4,-73.9,21.4,16.3,99.7
17278,91.3,-73.8,21.2,16.2,99.4
17284,91.2,-73.7,21.0,16.2,99.3
17290,91.1,-73.6,20.8,16.2,99.1
17296,91.1,-73.6,20.5,16.2,98.9
17302,91.0,-73.5,20.3,16.2,98.7
17307,90.9,-73.4,20.0,16.2,98.4
17313,90.8,-73.3,19.7,16.2,98.2
17319,90.7,-73.3,19.4,16.2,97.9
17325,90.6,-73.2,19.0,16.2,97.7
17330,90.5,-73.2,18.7,16.1,97.4
17336,90.4,-73.2,18.4,16.1,97.2
17341,90.3,-73.2,18.1,16.1,97.0
17347,90.3,-73.1,17.7,16.0,96.8
17353,90.2,-73.1,17.4,15.9,96.6
17359,90.1,-72.9,17.1,15.9,96.4
17364,90.0,-72.6,16.8,15.8,96.3
17370,89.9,-72.4,16.5,15.7,96.1
17376,89.8,-72.3,16.3,15.6,96.1
17381,89.7,-72.3,16.1,15.5,96.0
17387,89.7,-72.4,15.8,15.4,95.9
17392,89.6,-72.4,15.6,15.3,95.9
17397,89.5,-72.4,15.4,15.1,95.9
17402,89.4,-72.4,15.2,15.0,95.9
17408,89.3,-72.4,15.1,14.9,95.9
17413,89.2,-72.4,14.9,14.8,95.9
17419,89.2,-72.5,14.8,14.7,95.9
17424,89.1,-72.5,14.6,14.6,96.0
17430,89.0,-72.4,14.5,14.4,96.0
17435,88.9,-72.4,14.4,14.3,96.0
17440,88.8,-72.4,14.3,14.2,96.1
17446,88.8,-72.4,14.2,14.1,96.1
17451,88.7,-72.4,14.0,14.0,96.2
17456,88.6,-72.4,13.9,13.9,96.2
17461,88.5,-72.4,13.8,13.8,96.3
17467,88.4,-72.4,13.7,13.7,96.4
17472,88.4,-72.4,13.6,13.6,96.4
17477,88.3,-72.4,13.5,13.5,96.5
17483,88.2,-72.4,13.4,13.4,96.6
17488,88.1,-72.4,13.3,13.3,96.7
17493,88.0,-72.4,13.2,13.3,96.7
17499,88.0,-72.5,13.1,13.2,96.8
17505,87.9,-72.5,13.1,13.2,96.9
17510,87.8,-72.5,13.0,13.1,96.9
17516,87.7,-72.6,12.9,13.1,97.0
17522,87.6,-72.6,12.9,13.0,97.2
17528,87.5,-72.7,12.9,13.0,97.3
17534,87.4,-72.7,12.8,13.0,97.4
17540,87.3,-72.7,12.8,13.0,97.5
17547,87.2,-72.7,12.8,13.0,97.6
17553,87.2,-72.7,12.7,13.1,97.8
17559,87.1,-72.7,12.7,13.1,97.9
17566,87.0,-72.7,12.7,13.1,98.0
17572,86.9,-72.7,12.7,13.1,98.1
17578,86.8,-72.7,12.7,13.2,98.2
17584,86.7,-72.8,12.8,13.2,98.3
17589,86.6,-72.8,12.8,13.2,98.4
17595,86.5,-72.8,12.8,13.3,98.5
17600,86.4,-72.8,12.8,13.3,98.7
17606,86.4,-72.8,12.8,13.4,98.8
17611,86.3,-72.8,12.9,13.4,98.9
17616,86.2,-72.8,12.9,13.4,99.0
17621,86.1,-72.8,12.9,13.5,99.1
17626,86.1,-72.8,12.8,13.5,99.2
17631,86.0,-72.8,12.8,13.5,99.2
17636,85.9,-72.7,12.8,13.6,99.2
17641,85.8,-72.7,12.8,13.6,99.2
17647,85.8,-72.7,12.7,13.6,99.2
17652,85.7,-72.7,12.7,13.6,99.2
17657,85.6,-72.7,12.6,13.6,99.1
17662,85.5,-72.7,12.6,13.5,98.9
17668,85.5,-72.7,12.5,13.5,98.8
17673,85.4,-72.7,12.5,13.5,98.6
17678,85.3,-72.7,12.5,13.4,98.4
17683,85.2,-72.7,12.4,13.4,98.1
17689,85.2,-72.7,12.4,13.3,97.8
17694,85.1,-72.7,12.4,13.3,97.5
17700,85.0,-72.7,12.4,13.2,97.1
17706,84.9,-72.7,12.3,13.2,96.8
17711,84.8,-72.7,12.3,13.1,96.4
17717,84.7,-72.7,12.3,13.1,95.9
17722,84.7,-72.7,12.3,13.0,95.5
17728,84.6,-72.7,12.4,13.0,95.1
17734,84.5,-72.7,12.4,13.0,94.6
17739,84.4,-72.8,12.4,12.9,94.2
17744,84.4,-72.8,12.4,12.9,93.8
17750,84.3,-72.8,12.5,12.9,93.3
17755,84.2,-72.8,12.5,12.9,92.9
17760,84.1,-72.7,12.5,12.9,92.5
17766,84.0,-72.7,12.5,12.9,92.2
17771,84.0,-72.7,12.5,12.9,91.9
17776,83.9,-72.7,12.5,12.9,91.5
17781,83.8,-72.7,12.4,13.0,91.3
17786,83.8,-72.6,12.4,13.0,91.0
17791,83.7,-72.6,12.3,13.0,90.8
17797,83.6,-72.5,12.3,13.1,90.6
17802,83.5,-72.4,12.2,13.1,90.4
17808,83.4,-72.4,12.2,13.2,90.3
17813,83.4,-72.4,12.1,13.2,90.2
17819,83.3,-72.4,12.1,13.2,90.1
17824,83.2,-72.5,12.0,13.2,90.1
17829,83.1,-72.5,12.0,13.3,90.0
17834,83.1,-72.5,11.9,13.3,89.9
17839,83.0,-72.4,11.9,13.3,89.9
17844,82.9,-72.4,11.9,13.3,89.8
17849,82.9,-72.4,11.9,13.3,89.8
17853,82.8,-72.4,11.9,13.3,89.7
17858,82.7,-72.4,11.9,13.3,89.6
17863,82.7,-72.4,11.9,13.3,89.6
17868,82.6,-72.5,11.9,13.3,89.5
17872,82.5,-72.5,11.9,13.3,89.4
17878,82.5,-72.4,11.9,13.2,89.3
17883,82.4,-72.4,11.9,13.2,89.2
17888,82.3,-72.5,11.9,13.1,89.1
17894,82.2,-72.5,11.9,13.0,89.0
17900,82.1,-72.5,11.9,13.0,88.8
17906,82.1,-72.6,11.8,12.9,88.7
17911,82.0,-72.6,11.8,12.8,88.6
17917,81.9,-72.7,11.8,12.7,88.4
17922,81.8,-72.7,11.8,12.6,88.2
17928,81.8,-72.7,11.7,12.4,88.0
17933,81.7,-72.7,11.7,12.3,87.7
17938,81.6,-72.7,11.6,12.1,87.4
17944,81.5,-72.7,11.6,12.0,87.1
17949,81.5,-72.5,11.5,11.8,86.7
17954,81.4,-72.4,11.4,11.6,86.4
17960,81.3,-72.3,11.4,11.4,86.0
17965,81.2,-72.3,11.3,11.3,85.6
17971,81.2,-72.2,11.3,11.1,85.2
17977,81.1,-72.2,11.2,11.0,84.8
17983,81.0,-72.1,11.2,10.8,84.3
17988,80.9,-72.1,11.2,10.6,83.8
17995,80.8,-72.0,11.2,10.5,83.3
18001,80.8,-72.0,11.2,10.3,82.7
18007,80.7,-72.0,11.2,10.2,82.1
18013,80.6,-72.0,11.2,10.0,81.4
18018,80.5,-72.0,11.2,9.9,80.8
18024,80.4,-72.0,11.2,9.8,80.3
18030,80.4,-72.1,11.2,9.7,79.8
18035,80.3,-72.1,11.2,9.6,79.1
18041,80.2,-72.1,11.2,9.5,78.5
18047,80.1,-72.1,11.1,9.4,77.9
18053,80.0,-72.2,11.1,9.3,77.3
18059,80.0,-72.2,11.1,9.3,76.6
18065,79.9,-72.2,11.1,9.2,75.8
18071,79.8,-72.2,11.0,9.2,74.8
18077,79.7,-72.2,11.0,9.1,73.9
18083,79.6,-72.3,11.0,9.1,73.0
18089,79.6,-72.3,11.0,9.1,72.2
18095,79.5,-72.4,11.1,9.1,71.5
18100,79.4,-72.4,11.1,9.1,70.9
18106,79.3,-72.4,11.1,9.1,70.4
18111,79.2,-72.5,11.1,9.1,70.0
18117,79.2,-72.5,11.1,9.1,69.5
18123,79.1,-72.5,11.1,9.2,68.9
18129,79.0,-72.6,11.0,9.2,68.4
18135,78.9,-72.6,11.0,9.3,67.7
18141,78.8,-72.6,11.0,9.3,67.1
18147,78.8,-72.5,10.9,9.4,66.5
18153,78.7,-72.5,10.8,9.4,65.8
18159,78.6,-72.5,10.8,9.5,65.2
18165,78.5,-72.5,10.7,9.6,64.6
18171,78.4,-72.5,10.7,9.7,64.1
18177,78.4,-72.5,10.6,9.8,63.6
18183,78.3,-72.6,10.5,9.9,63.2
18190,78.2,-72.6,10.5,9.9,62.9
18196,78.1,-72.6,10.4,10.0,62.6
18202,78.0,-72.6,10.3,10.0,62.4
18209,77.9,-72.7,10.3,10.1,62.1
18215,77.9,-72.7,10.2,10.1,61.9
18221,77.8,-72.7,10.2,10.2,61.6
18227,77.7,-72.7,10.1,10.3,61.4
18233,77.6,-72.7,10.1,10.3,61.1
18239,77.5,-72.7,10.0,10.4,60.9
18246,77.5,-72.7,10.0,10.4,60.7
18252,77.4,-72.7,9.9,10.5,60.6
18258,77.3,-72.7,9.9,10.5,60.5
18264,77.2,-72.8,9.8,10.6,60.4
18270,77.1,-72.8,9.8,10.6,60.4
18276,77.1,-72.8,9.7,10.6,60.4
18282,77.0,-72.9,9.7,10.6,60.3
18288,76.9,-72.9,9.6,10.6,60.3
18294,76.8,-72.9,9.6,10.7,60.4
18300,76.7,-72.9,9.6,10.7,60.4
18306,76.7,-72.9,9.5,10.7,60.4
18312,76.6,-72.9,9.5,10.7,60.4
18319,76.5,-72.9,9.5,10.7,60.4
18325,76.4,-72.9,9.4,10.7,60.4
18332,76.3,-73.0,9.4,10.7,60.4
18338,76.2,-73.0,9.4,10.8,60.4
18345,76.2,-73.0,9.4,10.8,60.4
18351,76.1,-73.1,9.3,10.8,60.3
18358,76.0,-73.1,9.3,10.8,60.3
18364,75.9,-73.1,9.3,10.8,60.2
18371,75.8,-73.2,9.2,10.9,60.2
18377,75.7,-73.2,9.2,10.9,60.1
18383,75.7,-73.2,9.2,10.9,60.1
18389,75.6,-73.3,9.2,10.9,60.0
18396,75.5,-73.3,9.1,11.0,60.0
18402,75.4,-73.3,9.1,11.0,60.0
18408,75.3,-73.4,9.1,11.0,60.0
18414,75.3,-73.4,9.1,11.0,60.0
18421,75.2,-73.4,9.0,11.1,60.1
18427,75.1,-73.5,9.0,11.1,60.1
18434,75.0,-73.5,9.0,11.1,60.2
18440,74.9,-73.6,9.0,11.2,60.3
18447,74.8,-73.6,8.9,11.2,60.4
18454,74.8,-73.6,8.9,11.2,60.5
18460,74.7,-73.7,8.8,11.2,60.6
18466,74.6,-73.7,8.8,11.3,60.8
18473,74.5,-73.7,8.7,11.3,60.9
18478,74.4,-73.7,8.7,11.3,61.0
18485,74.3,-73.7,8.7,11.4,61.1
18492,74.3,-73.7,8.7,11.4,61.2
18498,74.2,-73.6,8.6,11.4,61.3
18505,74.1,-73.5,8.5,11.4,61.4
18512,74.0,-73.4,8.5,11.5,61.5
